source,title,author,price,tags,image,url,ai_caption,ai_palette,ai_tags,layout,font_style,aesthetic_style,confidence
Lapa Ninja,Spam,by JP,$79,"Webflow, Agency",https://cdn.lapa.ninja/assets/templates/spam-agency-website-template-thumb.webp,https://www.lapa.ninja/templates/spam-agency-website-template/,"Muted, minimal agency site with subdued tones and a spacious, uncluttered layout.",[],"minimal, calm, spacious, clean, professional",unknown,sans-serif,modern,0.85
Lapa Ninja,Arnoux,by Gustave Flowbert,$29,"Webflow, Architecture, Agency",https://cdn.lapa.ninja/assets/templates/arnoux-architecture-website-template-thumb.webp,https://www.lapa.ninja/templates/arnoux-architecture-website-template/,"Muted, minimal architecture agency site with understated tones and balanced composition.","[""#003366"", ""#6699CC"", ""#CCCCCC"", ""#FFFFFF"", ""#000000""]","minimal, calm, spacious, professional, architecture",unknown,sans-serif,modern,0.87
Lapa Ninja,Leon,by Gustave Flowbert,$49,"Webflow, Portfolio, Agency, Photography",https://cdn.lapa.ninja/assets/templates/leon-portfolioi-website-template-thumb.webp,https://www.lapa.ninja/templates/leon-portfolioi-website-template/,"Moody, elegant portfolio layout with deep, muted tones and centered balance.",[],"dark, elegant, minimal, artistic",centered,serif,editorial,0.87
Awwwards,,Roman Jean-Elie,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d41a8c4b630025066425.png,https://www.awwwards.com/sites/portfolio-25-1,"Insufficient data to determine website mood, style, or color palette.",[],,unknown,unknown,unknown,0.0
Awwwards,,PROPAGANDE,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68da56a7daaa3799677515.jpg,https://www.awwwards.com/sites/studio-tyrsa,"Muted, spacious layout with understated colors for a calm and neutral mood.",[],"calm, minimal, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,Plus X Creative Partner,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68da72a1433b6610972848.png,https://www.awwwards.com/sites/beyond-design-into-experience,"Mood, color, and layout are indeterminate due to missing visual and textual hints.",[],"minimal, clean",unknown,unknown,minimal,0.1
Awwwards,,Digital Luxury Group,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68cc1005c34b2948043411.png,https://www.awwwards.com/sites/urban-jurgensen,"Muted, spacious layout with understated colors for a calm and neutral mood.",[],"calm, minimal, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,Beaucoup.,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68bfe520867bc836691588.jpg,https://www.awwwards.com/sites/orage,"Understated website with muted palette and balanced negative space for a calm, minimal mood.",[],"minimal, calm, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,,,,,,"Understated website with muted palette and balanced negative space for a calm, minimal mood.",[],"minimal, calm, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,Studio 28K,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d143379383c188358018.png,https://www.awwwards.com/sites/hut-8,"Muted, spacious layout with understated tones for a calm and neutral mood.",[],"calm, minimal, spacious, clean",unknown,sans-serif,minimal,0.85
Awwwards,,/nk.studio,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68cd5ca4de605479894188.jpg,https://www.awwwards.com/sites/untold-1,"Muted, indeterminate layout with undefined color palette and structure.",[],"minimal, experimental, soft",unknown,unknown,experimental,0.45
Awwwards,,Dylan Brouwer,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c3d8c38c8fa401298793.png,https://www.awwwards.com/sites/get-hyped,"Mood, color, and layout are indeterminate due to missing visual data.",[],,unknown,unknown,unknown,0.0
Awwwards,,Thierry Chopain,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68caa0834aeea645348268.jpg,https://www.awwwards.com/sites/ova-investment,"Muted, neutral website with undefined structure and a calm, minimal aesthetic.",[],"minimal, calm, neutral, clean",unknown,sans-serif,minimal,0.68
Awwwards,,Edoardo Lunardi,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c6c63cb0bb2694852750.png,https://www.awwwards.com/sites/anuc-home,"Understated, minimal website with muted colors and balanced negative space.",[],"minimal, calm, spacious, clean",unknown,sans-serif,modern,0.85
Awwwards,,Huy Phan,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c03c4604f1a840148959.png,https://www.awwwards.com/sites/won-j-you-studios-2,"Mood, color, and layout indeterminate due to missing visual data.",[],"minimal, clean, modern",unknown,unknown,unknown,0.1
Awwwards,,Patrick Heng,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c7be3b8a3c6127708535.jpg,https://www.awwwards.com/sites/ponpon-mania,"Muted, balanced web composition with understated tones and uncluttered layout.",[],"minimal, calm, clean, spacious",unknown,sans-serif,minimal,0.82
Awwwards,,Firma,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c17b59d8b8c739996161.jpg,https://www.awwwards.com/sites/relats,"Understated website with muted palette and balanced negative space for a calm, minimal mood.",[],"minimal, calm, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,Immersive Garden,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c29b5209dbb113223702.jpg,https://www.awwwards.com/sites/100-lost-species,"Muted, undefined website layout with unspecified color palette and structure.",[],"minimal, clean, spacious",unknown,unknown,minimal,0.45
Awwwards,,Flabbergast,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c140b526ec9333061234.png,https://www.awwwards.com/sites/flabbergast-agency,"Muted, minimal website with understated colors and balanced, uncluttered layout.",[],"minimal, calm, clean, spacious",unknown,sans-serif,minimalist,0.82
Awwwards,,Amine Zegmou,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68bb0d7f38475413494866.png,https://www.awwwards.com/sites/lacrapule-studio,"Muted, neutral website with balanced spacing and understated minimal layout.",[],"minimal, calm, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,Refokus,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68b85a09f0d3b905958532.png,https://www.awwwards.com/sites/heimdall-power,"Website design with unspecified mood, colors, and layout due to missing data.",[],"minimal, modern, clean",unknown,sans-serif,minimal,0.2
Awwwards,,Samuel Honigstein,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68c6cce6444b8375386976.png,https://www.awwwards.com/sites/gen-02-smsy-portfolio,"Muted, minimal website with understated colors and balanced, uncluttered composition.",[],"minimal, calm, clean, spacious",unknown,sans-serif,minimalist,0.82
Awwwards,,Buzzworthy,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68b95f0034bca498000483.png,https://www.awwwards.com/sites/working-stiff-films,"Mood, color, and layout indeterminate due to missing visual data.",[],,unknown,unknown,unknown,0.0
Awwwards,,ToyFight,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/08/68b165054c02e699655838.jpg,https://www.awwwards.com/sites/ink-games,"Muted, indeterminate website layout with undefined color palette and structure.",[],"minimal, experimental, soft",unknown,unknown,experimental,0.45
Awwwards,,Malvah,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68bab6be1a4fe684453358.jpg,https://www.awwwards.com/sites/up-up,"Understated website with muted colors, balanced spacing, and an orderly, minimal layout.",[],"minimal, calm, spacious, clean",unknown,sans-serif,minimalist,0.82
Awwwards,,BONHOMME,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68dbf4222dd56166918743.png,https://www.awwwards.com/sites/fauna,"Muted, spacious layout with understated colors for a calm and neutral mood.",[],"calm, minimal, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,Ukauwa David,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/10/68dd49920086d802164828.png,https://www.awwwards.com/sites/genie-studio,"Mood, color, and layout are indeterminate due to lack of visual and metadata details.",[],,unknown,unknown,unknown,0.1
Awwwards,,BASEBORN,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/08/68ac16795370d156035420.png,https://www.awwwards.com/sites/chew-productions,"Muted, undefined website layout with unspecified color palette and structure.",[],"minimal, clean, spacious",unknown,unknown,minimal,0.45
Awwwards,,Cappen,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/10/68df8fe30c856594955862.png,https://www.awwwards.com/sites/cappen-4,"Muted, indeterminate layout with undefined color palette and structure.",[],"minimal, experimental, soft",unknown,unknown,experimental,0.45
Awwwards,,Rytm.Digital,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68dbb74e9b4d9211737709.png,https://www.awwwards.com/sites/theatre-memory,"Muted, spacious layout with understated colors for a calm and neutral mood.",[],"calm, minimal, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,Graphics Dept.,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/10/68e8112aba2b1600078585.png,https://www.awwwards.com/sites/hurry-up-have-fun,"Muted, balanced web composition with understated tones and uncluttered layout.",[],"minimal, calm, clean, spacious",unknown,sans-serif,minimal,0.82
Awwwards,,JUNNI,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/10/68e748a3c6139767139932.jpg,https://www.awwwards.com/sites/alche-inc,"Muted, undefined website layout with unspecified color palette and structure.",[],"minimal, clean, spacious",unknown,unknown,minimal,0.45
Awwwards,,AgenceBeDandy,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68dbe69a51417982402861.jpg,https://www.awwwards.com/sites/champagne-de-lossy,"Muted, minimal website with understated colors and balanced, uncluttered composition.",[],"minimal, calm, clean, spacious",unknown,sans-serif,minimalist,0.82
Awwwards,,serieseight,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68b7fdf26bddc496389447.jpg,https://www.awwwards.com/sites/jonite,"Muted, neutral website with undefined structure and a calm, minimal mood.",[],"minimal, calm, neutral, clean",unknown,sans-serif,minimal,0.68
Awwwards,,Stella Petkova,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68da9de308f54558250138.png,https://www.awwwards.com/sites/stella-petkova,"Muted, minimal website with understated colors and balanced, uncluttered layout.",[],"minimal, calm, clean, spacious",unknown,sans-serif,modern,0.82
Awwwards,,Fol,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68dac46490a8c082386579.jpg,https://www.awwwards.com/sites/avci-architects,"Muted, indeterminate layout with undefined structure and color palette.",[],"minimal, experimental, soft",unknown,unknown,experimental,0.45
Awwwards,,jordan-breton,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68da90ff7b5f7743711714.png,https://www.awwwards.com/sites/my-contemplative-portfolio,"Mood, color, and layout indeterminate due to missing visual data.",[],"minimal, clean",unknown,unknown,unknown,0.1
Awwwards,,ADELT Agency,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/10/68e795874e303896428316.png,https://www.awwwards.com/sites/quiet-cubes,"Understated website with muted colors, balanced spacing, and a neutral, minimal layout.",[],"minimal, calm, spacious, clean",unknown,sans-serif,neutral-minimal,0.82
Awwwards,,Atlantiser®,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/10/68de678acbbd3379535951.jpg,https://www.awwwards.com/sites/atlantiser-r,"Muted, balanced web composition with understated tones and uncluttered layout.",[],"minimal, calm, clean, spacious",unknown,sans-serif,minimal,0.82
Awwwards,,rightnowderek,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d9e76196249888434213.png,https://www.awwwards.com/sites/monster-pomodoro,"Mood, color, and layout indeterminate due to missing visual data.",[],"minimal, clean, modern",unknown,unknown,unknown,0.1
Awwwards,,,,,https://assets.awwwards.com/awards/6880c766bb2af2.02323356.jpg,,"Mood, color, and layout are indeterminate due to missing visual and textual cues.",[],,unknown,unknown,unknown,0.0
Awwwards,,andre-gsouza,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d95a9840300388846260.png,https://www.awwwards.com/sites/andre-souza-portfolio,"Understated website with muted colors, balanced negative space, and minimal layout.",[],"minimal, calm, spacious, clean",unknown,sans-serif,minimalist,0.82
Awwwards,,Kolibri,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/10/68e65cb903938908565818.png,https://www.awwwards.com/sites/co2,"Muted, indeterminate web composition with undefined layout and color palette.",[],"minimal, experimental, soft, clean",unknown,unknown,experimental,0.45
Awwwards,,Tomoya Okada,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/08/68b27dbe0685b243354929.jpg,https://www.awwwards.com/sites/layrid,"Understated website with muted colors, balanced spacing, and an orderly, minimal layout.",[],"minimal, calm, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,Uprock,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68da3cfcc21f0061312733.jpg,https://www.awwwards.com/sites/echowave,"Muted, open composition with understated tones and undefined spacious layout.",[],"minimal, calm, spacious, soft",open,sans-serif,minimalist,0.81
Awwwards,,Brand Appart,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d6ab3679b87876415181.png,https://www.awwwards.com/sites/brand-appart,"Understated, neutral web design with a muted palette and balanced, spacious layout.",[],"minimal, calm, spacious, clean",unknown,sans-serif,modern,0.82
Awwwards,,Rémi Inn,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d72d1c97a69563305366.png,https://www.awwwards.com/sites/utazon,"Insufficient data to determine website mood, color, or layout.",[],,unknown,unknown,unknown,0.0
Awwwards,,Sublimio,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/10/68e78c2a76385921444796.png,https://www.awwwards.com/sites/the-missing-element,"Muted, minimal website with understated colors and balanced, uncluttered composition.",[],"minimal, calm, clean, spacious",unknown,sans-serif,minimalist,0.85
Awwwards,,Vide Infra,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/10/6905478048e20363642525.jpg,https://www.awwwards.com/sites/silver-pinewood-residences,"Insufficient data to determine website mood, color, or layout.",[],,unknown,unknown,unknown,0.0
Awwwards,,SERIOUS.BUSINESS,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68dc06c138987333929875.jpg,https://www.awwwards.com/sites/iventions,"Muted, indeterminate layout with undefined color palette and structure.",[],"minimal, experimental, soft",unknown,unknown,experimental,0.45
Awwwards,,averach,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d5e33bf3e6d838091043.jpg,https://www.awwwards.com/sites/yaheng-design,"Understated website with muted palette and balanced, spacious layout for a calm, neutral mood.",[],"calm, minimal, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,UNFOUND Studio,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68cbd60195009274964659.jpg,https://www.awwwards.com/sites/mukko,"Mood, color, and layout indeterminate due to missing visual data.",[],"minimal, clean, modern",unknown,unknown,unknown,0.1
Awwwards,,CREATORS AGENCY,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d5706069f3a353495092.png,https://www.awwwards.com/sites/coachedby-r-club,"Understated, neutral website with a muted palette and balanced, spacious layout.",[],"minimal, calm, spacious, clean",unknown,sans-serif,modern,0.82
Awwwards,,JOEGARNER,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d62ebe2caba892366001.jpg,https://www.awwwards.com/sites/joe-garner-portfolio,"Muted, undefined website layout with unspecified color palette and structure.",[],"minimal, clean, spacious",unknown,unknown,minimal,0.45
Awwwards,,Huy Nguyen,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68b7aa90dbac3889881012.jpg,https://www.awwwards.com/sites/mammoth-murals,"Understated website with muted colors, balanced spacing, and an orderly, minimal layout.",[],"minimal, calm, spacious, clean",unknown,sans-serif,minimalist,0.82
Awwwards,,FUTURE THREE®,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d7e48d9ea55119289405.png,https://www.awwwards.com/sites/more-nutrition,"Muted, spacious layout with understated colors for a calm and neutral mood.",[],"calm, minimal, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,Pedro Churro,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d16107f231c596677470.png,https://www.awwwards.com/sites/alfredo,"Understated website with muted colors, balanced negative space, and minimal layout.",[],"minimal, calm, spacious, clean",unknown,sans-serif,minimalist,0.82
Awwwards,,Fiddle.Digital Design Agency,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d3bbda420b5091092924.jpg,https://www.awwwards.com/sites/kaleida,"Mood, color, and layout indeterminate due to missing visual data.",[],"minimal, clean, modern",unknown,unknown,unknown,0.1
Awwwards,,Undefined,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d464cb348a6816000629.jpg,https://www.awwwards.com/sites/undefined-1,"Muted, minimal website with understated colors and balanced, uncluttered layout.",[],"minimal, calm, clean, spacious",unknown,sans-serif,minimal,0.82
Awwwards,,Visual Identity,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/10/68e0f916f09fc464589662.png,https://www.awwwards.com/sites/dev-from-2047,"Understated, neutral website with a muted palette and balanced, spacious layout.",[],"minimal, calm, spacious, clean",unknown,sans-serif,minimalist,0.82
Awwwards,,60fps,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68b856ac82b8f885139949.jpg,https://www.awwwards.com/sites/chanel-les-4-ombres-boutons,"Muted, balanced web composition with understated tones and uncluttered layout.",[],"minimal, calm, clean, spacious",unknown,sans-serif,minimalist,0.82
Awwwards,,EssilorLuxottica Creative Hub,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d55c87594aa572219344.jpg,https://www.awwwards.com/sites/oakley-x-axiom-space,"Insufficient data to determine website mood, color, or layout.",[],unknown,unknown,unknown,unknown,0.0
Awwwards,,Velizar Delyanov,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d2a6b0872f8878152892.png,https://www.awwwards.com/sites/velizar-delyanov-portfolio,"Calm, neutral website with a muted palette and balanced, understated layout.",[],"calm, minimal, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,sa-design,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d30d852beb6330964391.jpg,https://www.awwwards.com/sites/marquet,"Mood, color, and layout are indeterminate due to missing visual information.",[],"minimal, clean, unknown",unknown,unknown,unknown,0.1
Awwwards,,zentixsoft,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d3da984fa26148400740.jpg,https://www.awwwards.com/sites/lucesposa,"Mood, color, and layout indeterminate due to missing visual data.",[],,unknown,unknown,unknown,0.0
Awwwards,,CreativeWeb,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d3ba1031292171741844.png,https://www.awwwards.com/sites/gorilla-science,"Understated website with muted palette and balanced negative space for a calm, minimal mood.",[],"minimal, calm, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,HOLOGRAPHIK,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/08/68b17798841f3128230559.png,https://www.awwwards.com/sites/david-alaba,"Muted, open composition with subdued tones and undefined spacious layout.","[""#000000"", ""#FFFFFF"", ""#CCCCCC"", ""#999999"", ""#666666""]","minimal, calm, spacious, soft, modern",open,sans-serif,minimalist,0.82
Awwwards,,bigstudio,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d4c241213fc711100721.png,https://www.awwwards.com/sites/big-studio-immersive-web,"Insufficient data to determine website mood, color, or layout.",[],,unknown,unknown,unknown,0.0
Awwwards,,Mambo Mambo,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d185931da81217827746.jpg,https://www.awwwards.com/sites/jacques-cie,"Understated website with muted colors, balanced spacing, and an orderly, minimal layout.",[],"minimal, calm, spacious, clean",unknown,sans-serif,minimal,0.82
Awwwards,,sbae18,,,https://assets.awwwards.com/awards/media/cache/thumb_440_330/submissions/2025/09/68d24484145aa910919259.png,https://www.awwwards.com/sites/im-not-a-bot,"Understated website with a muted palette, balanced spacing, and orderly, minimal layout.",[],"minimal, calm, spacious, clean",unknown,sans-serif,minimalist,0.85
