source,title,author,price,tags,image,url,ai_caption,primary_hex,primary_descriptor,ai_palette,image_confidence
Lapa Ninja (Post),Fantasy,STUDIO,,,https://cdn.lapa.ninja/assets/images/1x/fantasy-thumb.jpg,https://www.lapa.ninja/post/fantasy/,Whimsical fantasy theme with vibrant colors and a playful layout.,,bright and playful,"[""#ffcc00"", ""#ff6699"", ""#66ccff"", ""#ccff66""]",0.5
Lapa Ninja (Post),Vibe-X,3D WEBSITES,,,https://cdn.lapa.ninja/assets/images/1x/vibex-thumb.jpg,https://www.lapa.ninja/post/vibex/,Dynamic 3D website showcasing vibrant colors and an engaging layout.,,vibrant,"[""#ff5733"", ""#33c1ff"", ""#ff33a1"", ""#33ff57""]",0.5
Lapa Ninja (Post),Creech,STUDIO,,,https://cdn.lapa.ninja/assets/images/1x/creech-thumb.jpg,https://www.lapa.ninja/post/creech/,Playful design showcasing a vibrant color palette and dynamic layout.,,bright and playful,"[""#ff6f61"", ""#6b5b95"", ""#88b04b"", ""#f7cac9""]",0.5
Lapa Ninja (Post),LORE,BEAUTY,,,https://cdn.lapa.ninja/assets/images/1x/lore-thumb.jpg,https://www.lapa.ninja/post/lore/,"Minimalist design with a serene mood, featuring a soft color palette and spacious layout.",,soft neutral,"[""#f0f0f0"", ""#d9d9d9"", ""#ffffff"", ""#cccccc""]",0.5
Lapa Ninja (Post),Taara,TECHNOLOGY,,,https://cdn.lapa.ninja/assets/images/1x/taaraconnect-thumb.jpg,https://www.lapa.ninja/post/taaraconnect/,"Modern tech site with a clean layout and a neutral color tone, featuring a prominent image.",,neutral tones,"[""#ffffff"", ""#f0f0f0"", ""#e0e0e0"", ""#cccccc""]",0.5
Lapa Ninja (Post),Control,DESIGN TOOLS,,,https://cdn.lapa.ninja/assets/images/1x/cntrl-2-thumb.jpg,https://www.lapa.ninja/post/cntrl-2/,"Minimalist design with a serene mood, featuring a muted color palette and clean layout.",,neutral tones,"[""#f0f0f0"", ""#cccccc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),Stephanie Bruce,PORTFOLIO,,,https://cdn.lapa.ninja/assets/images/1x/stephaniebruce-2-thumb.jpg,https://www.lapa.ninja/post/stephaniebruce-2/,Minimalist portfolio showcasing a serene mood with a neutral color palette and clean layout.,,neutral tones,"[""#f0f0f0"", ""#cccccc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),Cloudflare Sandbox,DEVELOPMENT TOOLS,,,https://cdn.lapa.ninja/assets/images/1x/cloudflare-sandbox-thumb.jpg,https://www.lapa.ninja/post/cloudflare-sandbox/,Tech-focused layout with a clean aesthetic and a neutral color tone.,,neutral gray,"[""#f5f5f5"", ""#cccccc"", ""#333333"", ""#ffffff""]",0.5
Lapa Ninja (Post),Quantum Body,HEALTH FITNESS,,,https://cdn.lapa.ninja/assets/images/1x/quantumbody-thumb.jpg,https://www.lapa.ninja/post/quantumbody/,Energetic health-focused layout with a vibrant color palette and dynamic imagery.,,vibrant,"[""#ffcc00"", ""#ff6600"", ""#00cc99"", ""#ffffff""]",0.5
Lapa Ninja (Post),FUTURE THREE,STUDIO,,,https://cdn.lapa.ninja/assets/images/1x/futurethree-thumb.jpg,https://www.lapa.ninja/post/futurethree/,"Futuristic design with a sleek layout and a cool color tone, emphasizing minimalism.",,cool gray,"[""#cccccc"", ""#ffffff"", ""#000000"", ""#f0f0f0""]",0.5
Lapa Ninja (Post),David AI,ARTIFICIAL INTELLIGENCE,,,https://cdn.lapa.ninja/assets/images/1x/withdavid-thumb.jpg,https://www.lapa.ninja/post/withdavid/,Modern AI showcase with a sleek layout and a neutral color tone emphasizing innovation.,,neutral gray,"[""#ffffff"", ""#f0f0f0"", ""#e0e0e0"", ""#cccccc""]",0.5
Lapa Ninja (Post),poolside,ARTIFICIAL INTELLIGENCE,,,https://cdn.lapa.ninja/assets/images/1x/poolside-thumb.jpg,https://www.lapa.ninja/post/poolside/,Relaxed poolside scene with warm beige tones and a spacious layout.,,warm beige,"[""#f5f5dc"", ""#d2b48c"", ""#fffacd"", ""#deb887""]",0.5
Lapa Ninja (Post),xmcp,DEVELOPMENT TOOLS,,,https://cdn.lapa.ninja/assets/images/1x/xmcp-thumb.jpg,https://www.lapa.ninja/post/xmcp/,Minimalist development tools page with neutral tones and a clean layout.,,neutral gray,"[""#f0f0f0"", ""#cccccc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),GAÏO,FOOD DRINKS,,,https://cdn.lapa.ninja/assets/images/1x/gaio-thumb.jpg,https://www.lapa.ninja/post/gaio/,Minimalist food blog layout with a warm beige palette and inviting imagery.,,warm beige,"[""#f5f5dc"", ""#d2b48c"", ""#fff8dc"", ""#deb887""]",0.5
Lapa Ninja (Post),General Condition,STUDIO,,,https://cdn.lapa.ninja/assets/images/1x/generalcondition-thumb.jpg,https://www.lapa.ninja/post/generalcondition/,"Minimalist design with a neutral tone, featuring a clean layout and subtle visual elements.",,neutral gray,"[""#f0f0f0"", ""#cccccc"", ""#999999"", ""#ffffff""]",0.5
Lapa Ninja (Post),Null Studio,STUDIO,,,https://cdn.lapa.ninja/assets/images/1x/nullstudio-thumb.jpg,https://www.lapa.ninja/post/nullstudio/,"Minimalist design with a neutral palette and spacious layout, emphasizing simplicity.",,neutral tones,"[""#f5f5f5"", ""#e0e0e0"", ""#ffffff"", ""#cccccc""]",0.5
Lapa Ninja (Post),Paradigm,SAAS,,,https://cdn.lapa.ninja/assets/images/1x/paradigmai-thumb.jpg,https://www.lapa.ninja/post/paradigmai/,"Minimalist layout with a serene mood, featuring a soft color palette and clean typography.",,soft neutral,"[""#f0f0f0"", ""#ffffff"", ""#d9d9d9"", ""#bfbfbf""]",0.5
Lapa Ninja (Post),Kikk Festival 2025,EVENT,,,https://cdn.lapa.ninja/assets/images/1x/kikk-2025-thumb.jpg,https://www.lapa.ninja/post/kikk-2025/,Energetic festival announcement with vibrant colors and a dynamic layout.,,bright and lively,"[""#ffcc00"", ""#ff5733"", ""#33ccff"", ""#ffffff""]",0.5
Lapa Ninja (Post),darkroom.engineering,STUDIO,,,https://cdn.lapa.ninja/assets/images/1x/darkroom-engineering-thumb.jpg,https://www.lapa.ninja/post/darkroom-engineering/,Minimalist engineering site with a dark tone and structured layout emphasizing functionality.,,dark gray,"[""#000000"", ""#333333"", ""#666666"", ""#ffffff""]",0.5
Lapa Ninja (Post),React Email,SAAS,,,https://cdn.lapa.ninja/assets/images/1x/react-email-thumb.jpg,https://www.lapa.ninja/post/react-email/,Minimalist email design showcasing a clean layout with a modern aesthetic.,,neutral tones,"[""#ffffff"", ""#f0f0f0"", ""#e0e0e0"", ""#cccccc""]",0.5
Lapa Ninja (Post),Liftoff,BUSINESS,,,https://cdn.lapa.ninja/assets/images/1x/liftoff-thumb.jpg,https://www.lapa.ninja/post/liftoff/,"Minimalist layout with a serene mood, featuring a muted color palette and clean design elements.",,neutral tones,"[""#f0f0f0"", ""#cccccc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),David Alaba,SPORTS,,,https://cdn.lapa.ninja/assets/images/1x/davidalaba-thumb.jpg,https://www.lapa.ninja/post/davidalaba/,Dynamic sports post featuring a vibrant color palette and engaging layout.,,vibrant,"[""#ffcc00"", ""#ff6600"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),Qatchup,SAAS,,,https://cdn.lapa.ninja/assets/images/1x/qatchup-thumb.jpg,https://www.lapa.ninja/post/qatchup/,Minimalist SaaS interface with a clean layout and neutral tones.,,neutral gray,"[""#f0f0f0"", ""#ffffff"", ""#cccccc"", ""#333333""]",0.5
Lapa Ninja (Post),Era,APP,,,https://cdn.lapa.ninja/assets/images/1x/era-app-2-thumb.jpg,https://www.lapa.ninja/post/era-app-2/,Minimalist app design with a sleek layout and a neutral color tone.,,neutral gray,"[""#f0f0f0"", ""#cccccc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),Sunset,BUSINESS,,,https://cdn.lapa.ninja/assets/images/1x/hellosunset-thumb.jpg,https://www.lapa.ninja/post/hellosunset/,Serene sunset theme with warm tones and a minimalist layout emphasizing tranquility.,,warm tones,"[""#ffcc00"", ""#ff6600"", ""#ff9966"", ""#ffcc99""]",0.5
Lapa Ninja (Post),Taya,ECOMMERCE,,,https://cdn.lapa.ninja/assets/images/1x/tayanecklace-thumb.jpg,https://www.lapa.ninja/post/tayanecklace/,Elegant jewelry showcase with a soft color palette and minimalistic layout.,,soft neutral,"[""#f5f5f5"", ""#dcdcdc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),When We Love,ART,,,https://cdn.lapa.ninja/assets/images/1x/whenwelove-thumb.jpg,https://www.lapa.ninja/post/whenwelove/,"Emotive post with a warm beige palette and a simple, clean layout.",,warm beige,"[""#f5f5dc"", ""#dcdcdc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),Rob Figueredo,PORTFOLIO,,,https://cdn.lapa.ninja/assets/images/1x/robably-thumb.jpg,https://www.lapa.ninja/post/robably/,Minimalist portfolio showcasing a clean layout with a neutral color tone.,,neutral,"[""#ffffff"", ""#f0f0f0"", ""#000000"", ""#cccccc""]",0.5
Lapa Ninja (Post),Groth Studio,STUDIO,,,https://cdn.lapa.ninja/assets/images/1x/groth-thumb.jpg,https://www.lapa.ninja/post/groth/,Minimalist studio showcase with a neutral palette and clean layout emphasizing imagery.,,neutral tones,"[""#ffffff"", ""#f0f0f0"", ""#d9d9d9"", ""#000000""]",0.5
Lapa Ninja (Post),Ditto,SAAS,,,https://cdn.lapa.ninja/assets/images/1x/trustditto-thumb.jpg,https://www.lapa.ninja/post/trustditto/,Minimalist SaaS landing page with a clean layout and neutral tones.,,neutral tones,"[""#ffffff"", ""#f0f0f0"", ""#e0e0e0"", ""#cccccc""]",0.5
Lapa Ninja (Post),Essential,ARTIFICIAL INTELLIGENCE,,,https://cdn.lapa.ninja/assets/images/1x/essential-thumb.jpg,https://www.lapa.ninja/post/essential/,"Minimalist layout with a neutral tone, featuring a clean design and subtle imagery.",,neutral,"[""#ffffff"", ""#f0f0f0"", ""#e0e0e0"", ""#cccccc""]",0.5
Lapa Ninja (Post),Make It Real Fund Merch,CORPORATE,,,https://cdn.lapa.ninja/assets/images/1x/mirfundmerch-thumb.jpg,https://www.lapa.ninja/post/mirfundmerch/,Casual merchandise page with a vibrant color palette and engaging layout.,,bright and playful,"[""#ffcc00"", ""#ff6699"", ""#66ccff"", ""#ffffff""]",0.5
Lapa Ninja (Post),Duna,SAAS,,,https://cdn.lapa.ninja/assets/images/1x/duna-thumb.jpg,https://www.lapa.ninja/post/duna/,Minimalist design showcasing a serene mood with a soft color palette and spacious layout.,,soft neutral,"[""#f0f0f0"", ""#d9d9d9"", ""#ffffff"", ""#cccccc""]",0.5
Lapa Ninja (Post),Dulcedo,AGENCY,,,https://cdn.lapa.ninja/assets/images/1x/dulcedo-thumb.jpg,https://www.lapa.ninja/post/dulcedo/,Elegant portfolio site with a warm beige palette and minimalistic layout.,,warm beige,"[""#f5f5dc"", ""#e0cda9"", ""#d8cfc4"", ""#c2b280""]",0.5
Lapa Ninja (Post),REF Digital Agency,AGENCY,,,https://cdn.lapa.ninja/assets/images/1x/ref-thumb.jpg,https://www.lapa.ninja/post/ref/,Modern digital agency site with a sleek layout and a neutral color palette.,,neutral tones,"[""#ffffff"", ""#f0f0f0"", ""#000000"", ""#cccccc""]",0.5
Lapa Ninja (Post),Genie,DESIGN TOOLS,,,https://cdn.lapa.ninja/assets/images/1x/geniestudio-thumb.jpg,https://www.lapa.ninja/post/geniestudio/,Playful design studio vibe with bright colors and a grid layout.,,vibrant,"[""#ffcc00"", ""#ff6699"", ""#66ccff"", ""#ffcc66""]",0.5
Lapa Ninja (Post),Coda,FINANCE,,,https://cdn.lapa.ninja/assets/images/1x/coda-co-thumb.jpg,https://www.lapa.ninja/post/coda-co/,"Minimalist finance site with a clean layout and neutral tones, emphasizing simplicity.",,neutral gray,"[""#f0f0f0"", ""#ffffff"", ""#cccccc"", ""#999999""]",0.5
Lapa Ninja (Post),Cursor,DEVELOPMENT TOOLS,,,https://cdn.lapa.ninja/assets/images/1x/cursor-2-thumb.jpg,https://www.lapa.ninja/post/cursor-2/,Minimalist design tool showcase with a neutral palette and clean layout.,,neutral gray,"[""#f0f0f0"", ""#cccccc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),Tilt,FINANCE,,,https://cdn.lapa.ninja/assets/images/1x/tilt-thumb.jpg,https://www.lapa.ninja/post/tilt/,"Minimalist layout with a neutral tone, featuring a clean design and subtle visual elements.",,neutral,"[""#ffffff"", ""#f0f0f0"", ""#e0e0e0"", ""#cccccc""]",0.5
Lapa Ninja (Post),THE LINE Studio,STUDIO,,,https://cdn.lapa.ninja/assets/images/1x/thelinestudio-thumb.jpg,https://www.lapa.ninja/post/thelinestudio/,Minimalist studio showcase with a neutral palette and clean layout.,,neutral tones,"[""#f5f5f5"", ""#e0e0e0"", ""#bdbdbd"", ""#ffffff""]",0.5
Lapa Ninja (Post),Super Chill,APP,,,https://cdn.lapa.ninja/assets/images/1x/superchill-thumb.jpg,https://www.lapa.ninja/post/superchill/,Relaxed design with a soft color palette and minimalistic layout.,,soft pastel,"[""#f0f4f8"", ""#e0e7ee"", ""#cfd8e3"", ""#b0c4de""]",0.5
Lapa Ninja (Post),Pikkas,EDUCATION,,,https://cdn.lapa.ninja/assets/images/1x/pikkasinternational-thumb.jpg,https://www.lapa.ninja/post/pikkasinternational/,"Educational platform with a clean layout and warm beige tones, featuring engaging visuals.",,warm beige,"[""#f5f5dc"", ""#dcdcdc"", ""#ffffff"", ""#e0e0e0""]",0.5
Lapa Ninja (Post),Meracinque,FOOD DRINKS,,,https://cdn.lapa.ninja/assets/images/1x/meracinque-thumb.jpg,https://www.lapa.ninja/post/meracinque/,"Elegant food post featuring a warm beige palette and a clean, minimal layout.",,warm beige,"[""#f5f5dc"", ""#d8cfc4"", ""#e0cda9"", ""#f0e68c""]",0.5
Lapa Ninja (Post),Hot Type,FOUNDRY,,,https://cdn.lapa.ninja/assets/images/1x/hottype-thumb.jpg,https://www.lapa.ninja/post/hottype/,Modern design showcase with a vibrant color palette and minimalistic layout.,,bright and vibrant,"[""#ff6f61"", ""#6b5b95"", ""#88b04b"", ""#f7cac9""]",0.5
Lapa Ninja (Post),GT Pantheon,TYPOGRAPHY,,,https://cdn.lapa.ninja/assets/images/1x/gt-pantheon-thumb.jpg,https://www.lapa.ninja/post/gt-pantheon/,Sophisticated typography showcase with a neutral palette and minimalistic layout.,,neutral gray,"[""#f0f0f0"", ""#cccccc"", ""#333333"", ""#ffffff""]",0.5
Lapa Ninja (Post),Duten,HOME LIVING,,,https://cdn.lapa.ninja/assets/images/1x/duten-thumb.jpg,https://www.lapa.ninja/post/duten/,Minimalist home living showcase with a neutral palette and spacious layout.,,neutral tones,"[""#f5f5f5"", ""#e0e0e0"", ""#ffffff"", ""#bdbdbd""]",0.5
Lapa Ninja (Post),Dirty Vine,FOOD DRINKS,,,https://cdn.lapa.ninja/assets/images/1x/dirtyvine-thumb.jpg,https://www.lapa.ninja/post/dirtyvine/,Casual dining vibe with earthy tones and a relaxed layout featuring food imagery.,,earthy green,"[""#8b5a2b"", ""#d2b48c"", ""#f5f5dc"", ""#deb887""]",0.5
Lapa Ninja (Post),Arkeale,CORPORATE,,,https://cdn.lapa.ninja/assets/images/1x/arkeale-thumb.jpg,https://www.lapa.ninja/post/arkeale/,"Minimalist design with a neutral palette and spacious layout, emphasizing simplicity.",,neutral tones,"[""#f0f0f0"", ""#ffffff"", ""#cccccc"", ""#999999""]",0.5
Lapa Ninja (Post),Portal,SAAS,,,https://cdn.lapa.ninja/assets/images/1x/useportal-thumb.jpg,https://www.lapa.ninja/post/useportal/,Modern SaaS portal with a clean layout and a neutral color tone.,,neutral gray,"[""#f0f0f0"", ""#ffffff"", ""#cccccc"", ""#333333""]",0.5
Lapa Ninja (Post),Matic,HOME LIVING,,,https://cdn.lapa.ninja/assets/images/1x/maticrobots-thumb.jpg,https://www.lapa.ninja/post/maticrobots/,Modern home living showcase with a clean layout and neutral tones.,,neutral tones,"[""#ffffff"", ""#f0f0f0"", ""#d9d9d9"", ""#cccccc""]",0.5
Lapa Ninja (Post),Form&Fun,STUDIO,,,https://cdn.lapa.ninja/assets/images/1x/formandfun-thumb.jpg,https://www.lapa.ninja/post/formandfun/,Playful design showcasing vibrant colors and a dynamic layout with engaging elements.,,bright and playful,"[""#ff6f61"", ""#6b5b95"", ""#88b04b"", ""#f7cac9""]",0.5
Lapa Ninja (Post),Bloom & Wolf,ECOMMERCE,,,https://cdn.lapa.ninja/assets/images/1x/bloomandwolf-thumb.jpg,https://www.lapa.ninja/post/bloomandwolf/,Elegant ecommerce site with a soft color palette and minimalistic layout.,,soft neutral,"[""#f5f5f5"", ""#e0e0e0"", ""#ffffff"", ""#d1cfcf""]",0.5
Lapa Ninja (Post),Azione,AGENCY,,,https://cdn.lapa.ninja/assets/images/1x/azionepr-thumb.jpg,https://www.lapa.ninja/post/azionepr/,Dynamic design showcasing a vibrant color palette with a modern layout and engaging visuals.,,vibrant,"[""#ff5733"", ""#33c1ff"", ""#ff33a1"", ""#33ff57""]",0.5
Lapa Ninja (Post),Maggie App,APP,,,https://cdn.lapa.ninja/assets/images/1x/maggie-app-thumb.jpg,https://www.lapa.ninja/post/maggie-app/,Minimalist app design with a soft color palette and clean layout.,,soft neutral,"[""#f0f0f0"", ""#ffffff"", ""#e0e0e0"", ""#d0d0d0""]",0.5
Lapa Ninja (Post),Grit Pictures,AGENCY,,,https://cdn.lapa.ninja/assets/images/1x/grit-thumb.jpg,https://www.lapa.ninja/post/grit/,Dynamic visual storytelling with a warm beige palette and engaging grid layout.,,warm beige,"[""#f5f5dc"", ""#d2b48c"", ""#deb887"", ""#ffe4c4""]",0.5
Lapa Ninja (Post),That One Couple,AGENCY,,,https://cdn.lapa.ninja/assets/images/1x/thatonecouple-thumb.jpg,https://www.lapa.ninja/post/thatonecouple/,Charming couple's post with a warm beige palette and inviting layout.,,warm beige,"[""#f5f5dc"", ""#dcdcdc"", ""#fffaf0"", ""#ffe4b5""]",0.5
Lapa Ninja (Post),Studio Tyrsa,STUDIO,,,https://cdn.lapa.ninja/assets/images/1x/studiotyrsa-thumb.jpg,https://www.lapa.ninja/post/studiotyrsa/,Minimalist design showcasing a modern aesthetic with a neutral color palette and clean layout.,,neutral tones,"[""#ffffff"", ""#f0f0f0"", ""#d9d9d9"", ""#000000""]",0.5
Lapa Ninja (Post),Revitin,HEALTH FITNESS,,,https://cdn.lapa.ninja/assets/images/1x/revitin-thumb.jpg,https://www.lapa.ninja/post/revitin/,"Energetic health-focused layout with vibrant tones and a clean, modern aesthetic.",,vibrant green,"[""#4caf50"", ""#ffffff"", ""#f0f0f0"", ""#e0e0e0""]",0.5
Lapa Ninja (Post),Early Works,STUDIO,,,https://cdn.lapa.ninja/assets/images/1x/early-thumb.jpg,https://www.lapa.ninja/post/early/,Minimalist design showcasing early works with a neutral palette and clean layout.,,neutral tones,"[""#f0f0f0"", ""#cccccc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),Exrcst,ECOMMERCE,,,https://cdn.lapa.ninja/assets/images/1x/exrcst-thumb.jpg,https://www.lapa.ninja/post/exrcst/,Minimalist e-commerce site with a clean layout and neutral tones.,,neutral gray,"[""#f0f0f0"", ""#ffffff"", ""#cccccc"", ""#333333""]",0.5
Lapa Ninja (Post),Scout Motors,AUTOMOTIVE,,,https://cdn.lapa.ninja/assets/images/1x/scoutmotors-thumb.jpg,https://www.lapa.ninja/post/scoutmotors/,Modern automotive showcase with a rugged aesthetic and earthy tones.,,earthy green,"[""#4a7c2a"", ""#b5c99a"", ""#ffffff"", ""#333333""]",0.5
Lapa Ninja (Post),T3 by EquipmentShare,AUTOMOTIVE,,,https://cdn.lapa.ninja/assets/images/1x/t3-thumb.jpg,https://www.lapa.ninja/post/t3/,Modern automotive showcase with a clean layout and neutral tones.,,neutral gray,"[""#cccccc"", ""#ffffff"", ""#000000"", ""#f0f0f0""]",0.5
Lapa Ninja (Post),Sunrise Robotics,CORPORATE,,,https://cdn.lapa.ninja/assets/images/1x/sunriserobotics-thumb.jpg,https://www.lapa.ninja/post/sunriserobotics/,"Futuristic robotics showcase with a warm beige palette and clean, minimal layout.",,warm beige,"[""#f5f5dc"", ""#dcdcdc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),Normal Computing,HARDWARE,,,https://cdn.lapa.ninja/assets/images/1x/normalcomputing-thumb.jpg,https://www.lapa.ninja/post/normalcomputing/,"Minimalist layout with a neutral tone, featuring a soft color palette and clean design elements.",,neutral gray,"[""#f0f0f0"", ""#cccccc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),Michael Aust,PORTFOLIO,,,https://cdn.lapa.ninja/assets/images/1x/michael-aust-thumb.jpg,https://www.lapa.ninja/post/michael-aust/,Minimalist portfolio showcasing a clean layout with neutral tones and subtle elegance.,,neutral tones,"[""#ffffff"", ""#f0f0f0"", ""#d9d9d9"", ""#bfbfbf""]",0.5
Lapa Ninja (Post),Dorian Lods,PORTFOLIO,,,https://cdn.lapa.ninja/assets/images/1x/dorianlods-thumb.jpg,https://www.lapa.ninja/post/dorianlods/,Minimalist portfolio showcasing a serene mood with a neutral color tone and clean layout.,,neutral,"[""#ffffff"", ""#f0f0f0"", ""#d9d9d9"", ""#bfbfbf""]",0.5
Lapa Ninja (Post),Olha Lazarieva,PORTFOLIO,,,https://cdn.lapa.ninja/assets/images/1x/olhalazarieva-thumb.jpg,https://www.lapa.ninja/post/olhalazarieva/,Minimalist portfolio showcasing a serene aesthetic with a neutral color palette.,,neutral tones,"[""#f0f0f0"", ""#d9d9d9"", ""#ffffff"", ""#cccccc""]",0.5
Lapa Ninja (Post),Panconesi,FASHION,,,https://cdn.lapa.ninja/assets/images/1x/marcopanconesi-thumb.jpg,https://www.lapa.ninja/post/marcopanconesi/,Elegant fashion post with a minimalist layout and soft color tones.,,soft neutral,"[""#f0f0f0"", ""#d9d9d9"", ""#ffffff"", ""#cccccc""]",0.5
Lapa Ninja (Post),Ink Games,GAME,,,https://cdn.lapa.ninja/assets/images/1x/inkgames-thumb.jpg,https://www.lapa.ninja/post/inkgames/,Playful gaming site with vibrant colors and a dynamic layout featuring engaging visuals.,,bright and playful,"[""#ffcc00"", ""#ff5733"", ""#33ccff"", ""#ffffff""]",0.5
Lapa Ninja (Post),Celeres,VENTURES,,,https://cdn.lapa.ninja/assets/images/1x/celeresinvestments-thumb.jpg,https://www.lapa.ninja/post/celeresinvestments/,Professional investment site with a clean layout and neutral tones.,,neutral gray,"[""#f0f0f0"", ""#cccccc"", ""#333333"", ""#ffffff""]",0.5
Lapa Ninja (Post),Cofounder,ARTIFICIAL INTELLIGENCE,,,https://cdn.lapa.ninja/assets/images/1x/cofounder-thumb.jpg,https://www.lapa.ninja/post/cofounder/,"Minimalist layout with a neutral tone, featuring a clean design and subtle visual elements.",,neutral gray,"[""#f0f0f0"", ""#cccccc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),Dayos,ARTIFICIAL INTELLIGENCE,,,https://cdn.lapa.ninja/assets/images/1x/dayos-thumb.jpg,https://www.lapa.ninja/post/dayos/,"Minimalist design with a neutral tone and simple layout, emphasizing clarity and functionality.",,neutral gray,"[""#f0f0f0"", ""#cccccc"", ""#ffffff"", ""#000000""]",0.5
Lapa Ninja (Post),Mouthwash Studio,STUDIO,,,https://cdn.lapa.ninja/assets/images/1x/mouthwash-studio-2-thumb.jpg,https://www.lapa.ninja/post/mouthwash-studio-2/,"Minimalist design with a fresh vibe, featuring a clean layout and soft color tones.",,soft neutral,"[""#f0f0f0"", ""#ffffff"", ""#d9d9d9"", ""#b3b3b3""]",0.5
Lapa Ninja (Post),Rue Haus,STUDIO,,,https://cdn.lapa.ninja/assets/images/1x/ruehaus-thumb.jpg,https://www.lapa.ninja/post/ruehaus/,Modern design showcase with a warm beige palette and minimalistic layout.,,warm beige,"[""#f5f5dc"", ""#dcdcdc"", ""#ffffff"", ""#a52a2a""]",0.5
