source,title,url,image,dominant_colors,color_weights,primary_hex,primary_descriptor,elements,mood_keywords,confidence,caption,tags,cluster
Lapa Ninja (Post),Fantasy,https://www.lapa.ninja/post/fantasy/,https://cdn.lapa.ninja/assets/images/1x/fantasy-thumb.jpg,"[""#0b0c0f""]","{""#0b0c0f"": 0.9331}",#0b0c0f,dark neutral,"rounded buttons, search bar, large typography, grid layout, feature list, split screen","futuristic, modern, minimal",0.75,Modern grid layout with dark neutral tones and large typography.,"modern, minimal, dark, grid, futuristic, rounded-buttons",4
Lapa Ninja (Post),Vibe-X,https://www.lapa.ninja/post/vibex/,https://cdn.lapa.ninja/assets/images/1x/vibex-thumb.jpg,"[""#080808""]","{""#080808"": 0.9377}",#080808,dark neutral,"rounded buttons, sidebar, video background, search bar, avatar, form","minimal, futuristic, modern",0.75,Minimal layout with dark neutral tones featuring a video background and rounded buttons.,"minimal, modern, dark, video-background, rounded-buttons, sidebar, futuristic",6
Lapa Ninja (Post),Creech,https://www.lapa.ninja/post/creech/,https://cdn.lapa.ninja/assets/images/1x/creech-thumb.jpg,"[""#f1f1f0"", ""#ba9893""]","{""#f1f1f0"": 0.5104, ""#ba9893"": 0.1722}",#f1f1f0,light neutral,"grid layout, search bar, icon list, sidebar, rounded buttons, feature list","minimal, modern, artistic",0.75,Minimal grid layout with light neutral background and rounded buttons.,"minimal, modern, light, grid, rounded-buttons, sidebar, artistic",2
Lapa Ninja (Post),LORE,https://www.lapa.ninja/post/lore/,https://cdn.lapa.ninja/assets/images/1x/lore-thumb.jpg,"[""#f8f8f8"", ""#170b05""]","{""#f8f8f8"": 0.469, ""#170b05"": 0.174}",#f8f8f8,light neutral,"rounded buttons, sidebar, video background, grid layout, avatar, split screen","minimal, futuristic, modern",0.73,Minimal grid layout with dark muted gray sidebar and rounded buttons.,"minimal, modern, dark-muted-gray, grid, rounded-buttons, split-screen",2
Lapa Ninja (Post),Taara,https://www.lapa.ninja/post/taaraconnect/,https://cdn.lapa.ninja/assets/images/1x/taaraconnect-thumb.jpg,"[""#ffffff"", ""#c5c1c1""]","{""#ffffff"": 0.7985, ""#c5c1c1"": 0.1192}",#ffffff,light neutral,"rounded buttons, large typography, top navigation, form, cta button, hero image","futuristic, modern, luxury",0.75,Modern layout with light neutral tones featuring large typography and rounded buttons.,"modern, neutral, futuristic, luxury, rounded-buttons, typography, hero",1
Lapa Ninja (Post),Control,https://www.lapa.ninja/post/cntrl-2/,https://cdn.lapa.ninja/assets/images/1x/cntrl-2-thumb.jpg,"[""#ffffff"", ""#0b0b0b""]","{""#ffffff"": 0.7688, ""#0b0b0b"": 0.1556}",#ffffff,light neutral,"split screen, sidebar, rounded buttons, grid layout, feature list, two-column layout","modern, futuristic, creative",0.75,Modern split screen layout with light neutral background and rounded buttons.,"modern, split-screen, light, rounded-buttons, grid, creative",0
Lapa Ninja (Post),Stephanie Bruce,https://www.lapa.ninja/post/stephaniebruce-2/,https://cdn.lapa.ninja/assets/images/1x/stephaniebruce-2-thumb.jpg,"[""#0a0a0a"", ""#26523b""]","{""#0a0a0a"": 0.8201, ""#26523b"": 0.0594}",#0a0a0a,dark neutral,"large typography, grid layout, split screen, rounded buttons, sidebar, search bar","modern, minimal, futuristic",0.75,Modern grid layout with dark neutral tones and large typography.,"modern, minimal, dark, grid, typography, futuristic, sidebar",4
Lapa Ninja (Post),Cloudflare Sandbox,https://www.lapa.ninja/post/cloudflare-sandbox/,https://cdn.lapa.ninja/assets/images/1x/cloudflare-sandbox-thumb.jpg,"[""#0b0b0b""]","{""#0b0b0b"": 0.8904}",#0b0b0b,dark neutral,"grid layout, sidebar, rounded buttons, search bar, feature list, large typography","minimal, modern, luxury",0.75,Minimal grid layout with dark neutral tones and large typography.,"minimal, modern, dark, grid, typography, luxury",4
Lapa Ninja (Post),Quantum Body,https://www.lapa.ninja/post/quantumbody/,https://cdn.lapa.ninja/assets/images/1x/quantumbody-thumb.jpg,"[""#211d16"", ""#0c0f0d""]","{""#211d16"": 0.5245, ""#0c0f0d"": 0.2984}",#211d16,dark muted orange,"grid layout, video background, avatar, rounded buttons, large typography, sidebar","modern, minimal, artistic",0.75,Modern grid layout with dark muted orange video background and large typography.,"modern, minimal, dark-muted-orange, grid, video-background, rounded-buttons, artistic",6
Lapa Ninja (Post),FUTURE THREE,https://www.lapa.ninja/post/futurethree/,https://cdn.lapa.ninja/assets/images/1x/futurethree-thumb.jpg,"[""#efefef"", ""#afb89f""]","{""#efefef"": 0.495, ""#afb89f"": 0.1545}",#efefef,light neutral,"large typography, split screen, sidebar, form, rounded buttons, video background","modern, futuristic, creative",0.75,Modern split screen layout with light neutral background and large typography.,"modern, creative, light, split-screen, large-typography, rounded-buttons, sidebar",0
Lapa Ninja (Post),David AI,https://www.lapa.ninja/post/withdavid/,https://cdn.lapa.ninja/assets/images/1x/withdavid-thumb.jpg,"[""#f7f8f3""]","{""#f7f8f3"": 0.9652}",#f7f8f3,light neutral,"large typography, rounded buttons, pricing cards, grid layout, footer, sidebar","minimal, modern, cool",0.75,Minimal grid layout with light neutral background and large typography.,"minimal, modern, light, grid, typography, rounded-buttons, pricing-cards",3
Lapa Ninja (Post),poolside,https://www.lapa.ninja/post/poolside/,https://cdn.lapa.ninja/assets/images/1x/poolside-thumb.jpg,"[""#1a1a1a""]","{""#1a1a1a"": 0.956}",#1a1a1a,dark gray,"large typography, grid layout, data table, top navigation, footer, single column","minimal, modern, futuristic",0.75,Minimal grid layout with dark gray typography and a structured data table.,"minimal, modern, dark-gray, grid, typography, data-table, structured",4
Lapa Ninja (Post),xmcp,https://www.lapa.ninja/post/xmcp/,https://cdn.lapa.ninja/assets/images/1x/xmcp-thumb.jpg,"[""#010101""]","{""#010101"": 0.971}",#010101,dark neutral,"search bar, feature list, icon list, grid layout, top navigation, large typography","futuristic, cool, creative",0.75,Futuristic grid layout with dark neutral tones and large typography.,"futuristic, cool, dark, grid, typography, creative",4
Lapa Ninja (Post),GAÏO,https://www.lapa.ninja/post/gaio/,https://cdn.lapa.ninja/assets/images/1x/gaio-thumb.jpg,"[""#0a0909"", ""#fdf1d9""]","{""#0a0909"": 0.5182, ""#fdf1d9"": 0.3478}",#0a0909,dark neutral,"sidebar, pricing cards, footer, data table, large typography, feature list","luxury, modern, cool",0.75,Modern layout with dark neutral tones featuring large typography and a sidebar.,"modern, luxury, dark, sidebar, typography, pricing-cards",1
Lapa Ninja (Post),General Condition,https://www.lapa.ninja/post/generalcondition/,https://cdn.lapa.ninja/assets/images/1x/generalcondition-thumb.jpg,"[""#e7cbc6"", ""#141211""]","{""#e7cbc6"": 0.4151, ""#141211"": 0.3308}",#e7cbc6,bright red,"large typography, rounded buttons, icon list, pricing cards, feature list, sidebar","modern, creative, artistic",0.71,Modern layout with bright red typography and rounded buttons for a creative touch.,"modern, creative, bright-red, rounded-buttons, typography, pricing-cards",7
Lapa Ninja (Post),Null Studio,https://www.lapa.ninja/post/nullstudio/,https://cdn.lapa.ninja/assets/images/1x/nullstudio-thumb.jpg,"[""#131312"", ""#f6f6f6""]","{""#131312"": 0.2207, ""#f6f6f6"": 0.4872}",#131312,dark neutral,"large typography, grid layout, rounded buttons, sidebar, video background, footer","minimal, futuristic, modern",0.61,Minimal grid layout with dark neutral tones and large typography.,"minimal, modern, dark, grid, typography, futuristic, sidebar",4
Lapa Ninja (Post),Paradigm,https://www.lapa.ninja/post/paradigmai/,https://cdn.lapa.ninja/assets/images/1x/paradigmai-thumb.jpg,"[""#0a0c13"", ""#f5f7f9""]","{""#0a0c13"": 0.2956, ""#f5f7f9"": 0.5745}",#0a0c13,dark neutral,"grid layout, large typography, rounded buttons, feature list, footer, pricing cards","minimal, modern, futuristic",0.65,Minimal grid layout with dark neutral tones and large typography.,"minimal, modern, dark-neutral, grid, typography, rounded-buttons, futuristic",4
Lapa Ninja (Post),Kikk Festival 2025,https://www.lapa.ninja/post/kikk-2025/,https://cdn.lapa.ninja/assets/images/1x/kikk-2025-thumb.jpg,"[""#efefef"", ""#ef692f""]","{""#efefef"": 0.4084, ""#ef692f"": 0.2177}",#efefef,light neutral,"large typography, sidebar, footer, logo, video background, split screen","cool, minimal, retro",0.7,Minimal split screen layout with light neutral background and large typography.,"minimal, cool, light, typography, split-screen, retro",5
Lapa Ninja (Post),darkroom.engineering,https://www.lapa.ninja/post/darkroom-engineering/,https://cdn.lapa.ninja/assets/images/1x/darkroom-engineering-thumb.jpg,"[""#030102"", ""#2f2632""]","{""#030102"": 0.6214, ""#2f2632"": 0.1588}",#030102,dark neutral,"video background, rounded buttons, sidebar, feature list, grid layout, hero image","cool, retro, creative",0.75,Dark neutral layout featuring a video background with rounded buttons and a grid structure.,"dark, neutral, retro, creative, video-background, rounded-buttons, grid",6
Lapa Ninja (Post),React Email,https://www.lapa.ninja/post/react-email/,https://cdn.lapa.ninja/assets/images/1x/react-email-thumb.jpg,"[""#010102"", ""#05121c""]","{""#010102"": 0.7517, ""#05121c"": 0.1601}",#010102,dark neutral,"search bar, large typography, split screen, footer, rounded buttons, avatar","futuristic, modern, minimal",0.75,Modern split screen layout with dark neutral background and large typography.,"modern, minimal, dark, split-screen, typography, rounded-buttons",0
Lapa Ninja (Post),Liftoff,https://www.lapa.ninja/post/liftoff/,https://cdn.lapa.ninja/assets/images/1x/liftoff-thumb.jpg,"[""#fefaf4"", ""#dbd4d3""]","{""#fefaf4"": 0.8849, ""#dbd4d3"": 0.0601}",#fefaf4,light neutral,"rounded buttons, search bar, grid layout, sidebar, large typography, icon list","modern, trustworthy, minimal",0.75,Modern grid layout with light neutral background and large typography.,"modern, minimal, light, grid, typography, rounded-buttons, trustworthy",3
Lapa Ninja (Post),David Alaba,https://www.lapa.ninja/post/davidalaba/,https://cdn.lapa.ninja/assets/images/1x/davidalaba-thumb.jpg,"[""#fffefe"", ""#191016""]","{""#fffefe"": 0.5534, ""#191016"": 0.1574}",#fffefe,light neutral,"video background, sidebar, split screen, avatar, single column, large typography","modern, creative, professional",0.75,Modern split screen layout with light neutral background and large typography.,"modern, creative, professional, split-screen, large-typography, sidebar",5
Lapa Ninja (Post),Qatchup,https://www.lapa.ninja/post/qatchup/,https://cdn.lapa.ninja/assets/images/1x/qatchup-thumb.jpg,"[""#fafafa"", ""#29292a""]","{""#fafafa"": 0.852, ""#29292a"": 0.1008}",#fafafa,light neutral,"rounded buttons, grid layout, large typography, pricing cards, top navigation, footer","modern, minimal, vibrant",0.75,Modern grid layout with light neutral background and large typography.,"modern, minimal, light, grid, typography, rounded-buttons, vibrant",3
Lapa Ninja (Post),Era,https://www.lapa.ninja/post/era-app-2/,https://cdn.lapa.ninja/assets/images/1x/era-app-2-thumb.jpg,"[""#1a1a18"", ""#bfcdcc""]","{""#1a1a18"": 0.3528, ""#bfcdcc"": 0.3278}",#1a1a18,dark gray,"grid layout, large typography, rounded buttons, pricing cards, top navigation, sidebar","modern, minimal, cool",0.68,Modern grid layout with dark gray theme and large typography.,"modern, minimal, dark-gray, grid, typography, rounded-buttons",4
Lapa Ninja (Post),Sunset,https://www.lapa.ninja/post/hellosunset/,https://cdn.lapa.ninja/assets/images/1x/hellosunset-thumb.jpg,"[""#f0e9df"", ""#c6b8aa""]","{""#f0e9df"": 0.7832, ""#c6b8aa"": 0.0964}",#f0e9df,light bright orange,"rounded buttons, large typography, grid layout, footer, pricing cards, split screen","minimal, modern, professional",0.75,Minimal grid layout with light neutral tones and large typography.,"minimal, modern, neutral, grid, typography, professional",3
Lapa Ninja (Post),Taya,https://www.lapa.ninja/post/tayanecklace/,https://cdn.lapa.ninja/assets/images/1x/tayanecklace-thumb.jpg,"[""#fffefd"", ""#c4b6a4""]","{""#fffefd"": 0.5615, ""#c4b6a4"": 0.1454}",#fffefd,light neutral,"rounded buttons, video background, pricing cards, sidebar, feature list, large typography","modern, artistic, creative",0.75,Modern layout with light neutral tones featuring a video background and rounded buttons.,"modern, artistic, light, video-background, rounded-buttons, creative, pricing-cards",6
Lapa Ninja (Post),When We Love,https://www.lapa.ninja/post/whenwelove/,https://cdn.lapa.ninja/assets/images/1x/whenwelove-thumb.jpg,"[""#e6e4e4"", ""#d0c4cd""]","{""#e6e4e4"": 0.7472, ""#d0c4cd"": 0.1255}",#e6e4e4,light gray,"large typography, video background, sidebar, grid layout, footer, chart","minimal, creative, cool",0.75,Minimal grid layout with light gray background and large typography.,"minimal, grid, light-gray, creative, video-background, typography",3
Lapa Ninja (Post),Rob Figueredo,https://www.lapa.ninja/post/robably/,https://cdn.lapa.ninja/assets/images/1x/robably-thumb.jpg,"[""#fbfbfb""]","{""#fbfbfb"": 0.9289}",#fbfbfb,light neutral,"grid layout, large typography, top navigation, rounded buttons, video background, sidebar","modern, minimal, creative",0.75,Modern grid layout with light neutral background and large typography.,"modern, minimal, grid, typography, rounded-buttons, creative",3
Lapa Ninja (Post),Groth Studio,https://www.lapa.ninja/post/groth/,https://cdn.lapa.ninja/assets/images/1x/groth-thumb.jpg,"[""#dad5c1"", ""#fefefe""]","{""#dad5c1"": 0.4049, ""#fefefe"": 0.1921}",#dad5c1,muted yellow,"grid layout, large typography, footer, form, icon list, sidebar","modern, minimal, creative",0.7,Modern grid layout with muted yellow typography and a prominent sidebar.,"modern, minimal, muted-yellow, grid, typography, sidebar",4
Lapa Ninja (Post),Ditto,https://www.lapa.ninja/post/trustditto/,https://cdn.lapa.ninja/assets/images/1x/trustditto-thumb.jpg,"[""#eff1e4"", ""#4e6d5a""]","{""#eff1e4"": 0.8367, ""#4e6d5a"": 0.0526}",#eff1e4,light neutral,"grid layout, rounded buttons, pricing cards, large typography, feature list, video background","modern, minimal, vibrant",0.75,Modern grid layout with light neutral background and large typography.,"modern, minimal, light, grid, typography, vibrant, rounded-buttons",3
Lapa Ninja (Post),Essential,https://www.lapa.ninja/post/essential/,https://cdn.lapa.ninja/assets/images/1x/essential-thumb.jpg,"[""#f1f0f0"", ""#090909""]","{""#f1f0f0"": 0.7689, ""#090909"": 0.1243}",#f1f0f0,light neutral,"large typography, grid layout, split screen, rounded buttons, sidebar, footer","modern, futuristic, retro",0.75,Modern grid layout with light neutral background and large typography.,"modern, grid, light, large-typography, split-screen, rounded-buttons",3
Lapa Ninja (Post),Make It Real Fund Merch,https://www.lapa.ninja/post/mirfundmerch/,https://cdn.lapa.ninja/assets/images/1x/mirfundmerch-thumb.jpg,"[""#2a2aa4"", ""#010230""]","{""#2a2aa4"": 0.4124, ""#010230"": 0.3637}",#2a2aa4,bright blue,"large typography, video background, sidebar, logo, split screen, rounded buttons","cool, minimal, creative",0.71,Creative split screen layout with bright blue video background and large typography.,"cool, minimal, bright-blue, split-screen, video-background, rounded-buttons",5
Lapa Ninja (Post),Duna,https://www.lapa.ninja/post/duna/,https://cdn.lapa.ninja/assets/images/1x/duna-thumb.jpg,"[""#f2caac"", ""#fefefe""]","{""#f2caac"": 0.1861, ""#fefefe"": 0.702}",#f2caac,bright orange,"rounded buttons, top navigation, grid layout, footer, search bar, sidebar","minimal, modern, calm",0.59,Minimal grid layout with bright orange accents and rounded buttons.,"minimal, modern, bright-orange, grid, rounded-buttons, calm",2
Lapa Ninja (Post),Dulcedo,https://www.lapa.ninja/post/dulcedo/,https://cdn.lapa.ninja/assets/images/1x/dulcedo-thumb.jpg,"[""#0b0b0b"", ""#f4f4f4""]","{""#0b0b0b"": 0.6101, ""#f4f4f4"": 0.2778}",#0b0b0b,dark neutral,"sidebar, rounded buttons, feature list, video background, large typography, pricing cards","modern, minimal, moody",0.75,Modern layout with dark neutral tones featuring large typography and rounded buttons.,"modern, minimal, dark, typography, rounded-buttons, sidebar, video-background",1
Lapa Ninja (Post),REF Digital Agency,https://www.lapa.ninja/post/ref/,https://cdn.lapa.ninja/assets/images/1x/ref-thumb.jpg,"[""#c4b9ae"", ""#10086b""]","{""#c4b9ae"": 0.5056, ""#10086b"": 0.2417}",#c4b9ae,muted orange,"grid layout, video background, footer, split screen, icon list, sidebar","minimal, modern, artistic",0.75,Minimal split screen layout with muted orange video background and grid elements.,"minimal, modern, muted-orange, grid, video-background, artistic, sidebar",5
Lapa Ninja (Post),Genie,https://www.lapa.ninja/post/geniestudio/,https://cdn.lapa.ninja/assets/images/1x/geniestudio-thumb.jpg,"[""#fbfdff""]","{""#fbfdff"": 0.9585}",#fbfdff,light neutral,"search bar, rounded buttons, feature list, large typography, video background, sidebar","creative, cool, friendly",0.75,Creative layout with light neutral tones featuring large typography and a video background.,"creative, friendly, light, modern, video-background, rounded-buttons, sidebar",6
Lapa Ninja (Post),Coda,https://www.lapa.ninja/post/coda-co/,https://cdn.lapa.ninja/assets/images/1x/coda-co-thumb.jpg,"[""#f7f9eb"", ""#023e22""]","{""#f7f9eb"": 0.5496, ""#023e22"": 0.3339}",#f7f9eb,light neutral,"cta button, rounded buttons, sidebar, video background, avatar, pricing cards","trustworthy, creative, modern",0.75,Modern layout with light neutral background and rounded buttons alongside a video background.,"modern, light, neutral, rounded-buttons, video, sidebar, trustworthy",6
Lapa Ninja (Post),Cursor,https://www.lapa.ninja/post/cursor-2/,https://cdn.lapa.ninja/assets/images/1x/cursor-2-thumb.jpg,"[""#17140e"", ""#b9b6b1""]","{""#17140e"": 0.8103, ""#b9b6b1"": 0.0821}",#17140e,dark neutral,"split screen, grid layout, video background, sidebar, search bar, feature list","modern, minimal, professional",0.75,Modern split screen layout with dark neutral tones and a video background.,"modern, minimal, dark, grid, professional, video-background",5
Lapa Ninja (Post),Tilt,https://www.lapa.ninja/post/tilt/,https://cdn.lapa.ninja/assets/images/1x/tilt-thumb.jpg,"[""#171616"", ""#f8f7f3""]","{""#171616"": 0.5117, ""#f8f7f3"": 0.3631}",#171616,dark gray,"grid layout, pricing cards, sidebar, rounded buttons, centered hero, footer","modern, professional, retro",0.75,Modern grid layout with dark gray pricing cards and rounded buttons.,"modern, professional, dark-gray, grid, pricing-cards, rounded-buttons, hero",7
Lapa Ninja (Post),THE LINE Studio,https://www.lapa.ninja/post/thelinestudio/,https://cdn.lapa.ninja/assets/images/1x/thelinestudio-thumb.jpg,"[""#250410"", ""#eaebee""]","{""#250410"": 0.3233, ""#eaebee"": 0.3093}",#250410,dark neutral,"sidebar, video background, rounded buttons, hero image, split screen, footer","bold, cool, artistic",0.66,Bold split screen layout with dark neutral hero and rounded buttons.,"bold, artistic, dark-neutral, split-screen, video-background, modern",5
Lapa Ninja (Post),Super Chill,https://www.lapa.ninja/post/superchill/,https://cdn.lapa.ninja/assets/images/1x/superchill-thumb.jpg,"[""#f1ebde"", ""#ea95d3""]","{""#f1ebde"": 0.5965, ""#ea95d3"": 0.2051}",#f1ebde,light bright orange,"rounded buttons, sidebar, grid layout, split screen, large typography, footer","modern, calm, futuristic",0.75,Modern grid layout with light bright orange sidebar and large typography.,"modern, calm, light-orange, grid, rounded-buttons, sidebar, typography",4
Lapa Ninja (Post),Pikkas,https://www.lapa.ninja/post/pikkasinternational/,https://cdn.lapa.ninja/assets/images/1x/pikkasinternational-thumb.jpg,"[""#f5f7f5"", ""#957c52""]","{""#f5f7f5"": 0.6145, ""#957c52"": 0.1499}",#f5f7f5,light neutral,"sidebar, large typography, video background, grid layout, split screen, feature list","playful, modern, friendly",0.75,Modern split screen layout with light neutral background and large typography.,"playful, friendly, modern, grid, video-background, typography",5
Lapa Ninja (Post),Meracinque,https://www.lapa.ninja/post/meracinque/,https://cdn.lapa.ninja/assets/images/1x/meracinque-thumb.jpg,"[""#f9f5e5"", ""#84633b""]","{""#f9f5e5"": 0.4411, ""#84633b"": 0.149}",#f9f5e5,light neutral,"sidebar, video background, rounded buttons, feature list, footer, search bar","cool, creative, modern",0.72,Modern layout with light neutral background and rounded buttons for interaction.,"modern, creative, light, rounded-buttons, sidebar, video-background, footer",6
Lapa Ninja (Post),Hot Type,https://www.lapa.ninja/post/hottype/,https://cdn.lapa.ninja/assets/images/1x/hottype-thumb.jpg,"[""#fefefe"", ""#090a08""]","{""#fefefe"": 0.7616, ""#090a08"": 0.1096}",#fefefe,light neutral,"large typography, two-column layout, grid layout, icon list, feature list, form","modern, minimal, artistic",0.75,Modern two-column layout with dark typography and a structured grid design.,"modern, minimal, dark, grid, typography, layout",1
Lapa Ninja (Post),GT Pantheon,https://www.lapa.ninja/post/gt-pantheon/,https://cdn.lapa.ninja/assets/images/1x/gt-pantheon-thumb.jpg,"[""#010101"", ""#5b05e5""]","{""#010101"": 0.835, ""#5b05e5"": 0.0777}",#010101,dark neutral,"large typography, sidebar, icon list, logo, top navigation, video background","modern, cool, trustworthy",0.75,Modern layout with dark neutral tones featuring large typography and a video background.,"modern, dark, typography, video-background, sidebar, trustworthy",6
Lapa Ninja (Post),Duten,https://www.lapa.ninja/post/duten/,https://cdn.lapa.ninja/assets/images/1x/duten-thumb.jpg,"[""#e4e4e4""]","{""#e4e4e4"": 0.897}",#e4e4e4,light gray,"large typography, sidebar, footer, pricing cards, grid layout, form","modern, minimal, futuristic",0.75,Modern grid layout with light gray background and large typography elements.,"modern, minimal, light-gray, grid, typography, pricing-cards, sidebar",3
Lapa Ninja (Post),Dirty Vine,https://www.lapa.ninja/post/dirtyvine/,https://cdn.lapa.ninja/assets/images/1x/dirtyvine-thumb.jpg,"[""#f7f0e7"", ""#484023""]","{""#f7f0e7"": 0.4772, ""#484023"": 0.2247}",#f7f0e7,light neutral,"grid layout, rounded buttons, pricing cards, footer, sidebar, feature list","luxury, modern, calm",0.74,Modern grid layout with light neutral tones and rounded buttons.,"modern, grid, light, luxury, calm, rounded-buttons, pricing-cards",2
Lapa Ninja (Post),Arkeale,https://www.lapa.ninja/post/arkeale/,https://cdn.lapa.ninja/assets/images/1x/arkeale-thumb.jpg,"[""#1d2f27"", ""#4c5149""]","{""#1d2f27"": 0.5651, ""#4c5149"": 0.1691}",#1d2f27,dark muted green,"sidebar, grid layout, avatar, feature list, pricing cards, video background","modern, futuristic, minimal",0.75,Modern grid layout with dark muted green sidebar and video background.,"modern, grid, dark-muted-green, sidebar, minimal, futuristic",6
Lapa Ninja (Post),Portal,https://www.lapa.ninja/post/useportal/,https://cdn.lapa.ninja/assets/images/1x/useportal-thumb.jpg,"[""#7190f1"", ""#f6f6f6""]","{""#7190f1"": 0.1922, ""#f6f6f6"": 0.5878}",#7190f1,bright blue,"rounded buttons, grid layout, top navigation, search bar, cta button, sidebar","modern, minimal, calm",0.6,Modern grid layout with bright blue top navigation and rounded buttons.,"modern, minimal, bright-blue, grid, rounded-buttons, calm, navigation",2
Lapa Ninja (Post),Matic,https://www.lapa.ninja/post/maticrobots/,https://cdn.lapa.ninja/assets/images/1x/maticrobots-thumb.jpg,"[""#d6d6d4"", ""#ffffff""]","{""#d6d6d4"": 0.366, ""#ffffff"": 0.2725}",#d6d6d4,light gray,"grid layout, cta button, rounded buttons, search bar, avatar, sidebar","futuristic, modern, minimal",0.68,Modern grid layout with light gray tones and rounded buttons.,"modern, minimal, light-gray, grid, rounded-buttons, futuristic",2
