source,title,url,image,dominant_colors,color_weights,primary_hex,primary_descriptor,elements,mood_keywords,confidence
Lapa Ninja (Post),Cloudflare Sandbox,https://www.lapa.ninja/post/cloudflare-sandbox/,https://cdn.lapa.ninja/assets/images/1x/cloudflare-sandbox-thumb.jpg,"[""#0a0a0a""]","{""#0a0a0a"": 0.8753}",#0a0a0a,dark neutral,"grid layout, sidebar, rounded buttons, feature list, search bar, large typography","minimal, modern, luxury",0.75
Lapa Ninja (Post),Quantum Body,https://www.lapa.ninja/post/quantumbody/,https://cdn.lapa.ninja/assets/images/1x/quantumbody-thumb.jpg,"[""#211c16"", ""#0c0e0d""]","{""#211c16"": 0.5249, ""#0c0e0d"": 0.2964}",#211c16,dark muted orange,"avatar, video background, grid layout, sidebar, large typography, split screen","modern, minimal, artistic",0.75
Lapa Ninja (Post),FUTURE THREE,https://www.lapa.ninja/post/futurethree/,https://cdn.lapa.ninja/assets/images/1x/futurethree-thumb.jpg,"[""#f0efef"", ""#b0b9a2""]","{""#f0efef"": 0.4932, ""#b0b9a2"": 0.1398}",#f0efef,light neutral,"large typography, sidebar, split screen, feature list, form, video background","modern, futuristic, creative",0.75
Lapa Ninja (Post),David AI,https://www.lapa.ninja/post/withdavid/,https://cdn.lapa.ninja/assets/images/1x/withdavid-thumb.jpg,"[""#f7f8f4""]","{""#f7f8f4"": 0.962}",#f7f8f4,light neutral,"large typography, rounded buttons, grid layout, pricing cards, sidebar, footer","minimal, modern, cool",0.75
Lapa Ninja (Post),poolside,https://www.lapa.ninja/post/poolside/,https://cdn.lapa.ninja/assets/images/1x/poolside-thumb.jpg,"[""#1a1a1a""]","{""#1a1a1a"": 0.9613}",#1a1a1a,dark gray,"large typography, grid layout, data table, top navigation, footer, chart","minimal, modern, futuristic",0.75
Lapa Ninja (Post),xmcp,https://www.lapa.ninja/post/xmcp/,https://cdn.lapa.ninja/assets/images/1x/xmcp-thumb.jpg,"[""#010101""]","{""#010101"": 0.9651}",#010101,dark neutral,"search bar, icon list, feature list, grid layout, top navigation, large typography","futuristic, creative, cool",0.75
Lapa Ninja (Post),GAÏO,https://www.lapa.ninja/post/gaio/,https://cdn.lapa.ninja/assets/images/1x/gaio-thumb.jpg,"[""#0a0909"", ""#fcf1db""]","{""#0a0909"": 0.5206, ""#fcf1db"": 0.3468}",#0a0909,dark neutral,"pricing cards, sidebar, footer, large typography, feature list, data table","luxury, professional, cool",0.75
Lapa Ninja (Post),General Condition,https://www.lapa.ninja/post/generalcondition/,https://cdn.lapa.ninja/assets/images/1x/generalcondition-thumb.jpg,"[""#e8cbc7"", ""#181110""]","{""#e8cbc7"": 0.4079, ""#181110"": 0.3294}",#e8cbc7,bright red,"large typography, rounded buttons, icon list, feature list, pricing cards, sidebar","modern, creative, artistic",0.7
Lapa Ninja (Post),Null Studio,https://www.lapa.ninja/post/nullstudio/,https://cdn.lapa.ninja/assets/images/1x/nullstudio-thumb.jpg,"[""#121211"", ""#f3f3f3""]","{""#121211"": 0.2118, ""#f3f3f3"": 0.5442}",#121211,dark neutral,"large typography, grid layout, rounded buttons, sidebar, video background, avatar","minimal, futuristic, modern",0.61
Lapa Ninja (Post),Paradigm,https://www.lapa.ninja/post/paradigmai/,https://cdn.lapa.ninja/assets/images/1x/paradigmai-thumb.jpg,"[""#090c15"", ""#f5f6f9""]","{""#090c15"": 0.2953, ""#f5f6f9"": 0.5742}",#090c15,dark neutral,"grid layout, large typography, rounded buttons, feature list, footer, pricing cards","minimal, modern, cool",0.65
Lapa Ninja (Post),Kikk Festival 2025,https://www.lapa.ninja/post/kikk-2025/,https://cdn.lapa.ninja/assets/images/1x/kikk-2025-thumb.jpg,"[""#eeeeee"", ""#eb6631""]","{""#eeeeee"": 0.4078, ""#eb6631"": 0.2164}",#eeeeee,light neutral,"large typography, sidebar, video background, logo, footer, split screen","cool, retro, minimal",0.7
Lapa Ninja (Post),darkroom.engineering,https://www.lapa.ninja/post/darkroom-engineering/,https://cdn.lapa.ninja/assets/images/1x/darkroom-engineering-thumb.jpg,"[""#030103"", ""#312834""]","{""#030103"": 0.6233, ""#312834"": 0.1678}",#030103,dark neutral,"video background, rounded buttons, sidebar, feature list, hero image, grid layout","cool, creative, retro",0.75
Lapa Ninja (Post),React Email,https://www.lapa.ninja/post/react-email/,https://cdn.lapa.ninja/assets/images/1x/react-email-thumb.jpg,"[""#010102"", ""#06141e""]","{""#010102"": 0.7578, ""#06141e"": 0.1593}",#010102,dark neutral,"large typography, avatar, search bar, split screen, rounded buttons, feature list","futuristic, modern, minimal",0.75
Lapa Ninja (Post),Liftoff,https://www.lapa.ninja/post/liftoff/,https://cdn.lapa.ninja/assets/images/1x/liftoff-thumb.jpg,"[""#fefaf4"", ""#dbdbe4""]","{""#fefaf4"": 0.8765, ""#dbdbe4"": 0.0517}",#fefaf4,light neutral,"search bar, rounded buttons, sidebar, feature list, footer, grid layout","trustworthy, modern, minimal",0.75
Lapa Ninja (Post),David Alaba,https://www.lapa.ninja/post/davidalaba/,https://cdn.lapa.ninja/assets/images/1x/davidalaba-thumb.jpg,"[""#fefefd"", ""#1d1319""]","{""#fefefd"": 0.5525, ""#1d1319"": 0.176}",#fefefd,light neutral,"video background, sidebar, split screen, avatar, single column, search bar","modern, creative, professional",0.75
Lapa Ninja (Post),Qatchup,https://www.lapa.ninja/post/qatchup/,https://cdn.lapa.ninja/assets/images/1x/qatchup-thumb.jpg,"[""#f9f9f9"", ""#292929""]","{""#f9f9f9"": 0.8678, ""#292929"": 0.1003}",#f9f9f9,light neutral,"rounded buttons, large typography, grid layout, top navigation, pricing cards, footer","modern, minimal, vibrant",0.75
Lapa Ninja (Post),Era,https://www.lapa.ninja/post/era-app-2/,https://cdn.lapa.ninja/assets/images/1x/era-app-2-thumb.jpg,"[""#1a1a18"", ""#bfcdcc""]","{""#1a1a18"": 0.3529, ""#bfcdcc"": 0.3303}",#1a1a18,dark gray,"grid layout, large typography, rounded buttons, pricing cards, top navigation, sidebar","modern, minimal, creative",0.68
Lapa Ninja (Post),Sunset,https://www.lapa.ninja/post/hellosunset/,https://cdn.lapa.ninja/assets/images/1x/hellosunset-thumb.jpg,"[""#efe8e1"", ""#c7b8a9""]","{""#efe8e1"": 0.7831, ""#c7b8a9"": 0.0965}",#efe8e1,light muted orange,"rounded buttons, large typography, grid layout, footer, pricing cards, split screen","minimal, modern, professional",0.75
Lapa Ninja (Post),Taya,https://www.lapa.ninja/post/tayanecklace/,https://cdn.lapa.ninja/assets/images/1x/tayanecklace-thumb.jpg,"[""#fffefc"", ""#a79386""]","{""#fffefc"": 0.5605, ""#a79386"": 0.1592}",#fffefc,light neutral,"rounded buttons, video background, pricing cards, sidebar, feature list, large typography","modern, artistic, creative",0.75
Lapa Ninja (Post),When We Love,https://www.lapa.ninja/post/whenwelove/,https://cdn.lapa.ninja/assets/images/1x/whenwelove-thumb.jpg,"[""#e6e3e4"", ""#cec3cc""]","{""#e6e3e4"": 0.7499, ""#cec3cc"": 0.1212}",#e6e3e4,light gray,"video background, sidebar, large typography, chart, carousel, grid layout","minimal, creative, cool",0.75
Lapa Ninja (Post),Rob Figueredo,https://www.lapa.ninja/post/robably/,https://cdn.lapa.ninja/assets/images/1x/robably-thumb.jpg,"[""#fbfbfb""]","{""#fbfbfb"": 0.9318}",#fbfbfb,light neutral,"grid layout, large typography, top navigation, video background, rounded buttons, pricing cards","modern, minimal, creative",0.75
Lapa Ninja (Post),Groth Studio,https://www.lapa.ninja/post/groth/,https://cdn.lapa.ninja/assets/images/1x/groth-thumb.jpg,"[""#d9d5c1"", ""#fdfdfc""]","{""#d9d5c1"": 0.4021, ""#fdfdfc"": 0.1943}",#d9d5c1,muted yellow,"grid layout, large typography, footer, form, icon list, sidebar","modern, minimal, creative",0.7
Lapa Ninja (Post),Ditto,https://www.lapa.ninja/post/trustditto/,https://cdn.lapa.ninja/assets/images/1x/trustditto-thumb.jpg,"[""#eff1e5""]","{""#eff1e5"": 0.8352}",#eff1e5,light neutral,"grid layout, pricing cards, rounded buttons, large typography, feature list, video background","modern, minimal, vibrant",0.75
Lapa Ninja (Post),Essential,https://www.lapa.ninja/post/essential/,https://cdn.lapa.ninja/assets/images/1x/essential-thumb.jpg,"[""#f2f2f2"", ""#0d1014""]","{""#f2f2f2"": 0.7363, ""#0d1014"": 0.1445}",#f2f2f2,light neutral,"large typography, grid layout, split screen, sidebar, cta button, pricing cards","modern, futuristic, retro",0.75
Lapa Ninja (Post),Make It Real Fund Merch,https://www.lapa.ninja/post/mirfundmerch/,https://cdn.lapa.ninja/assets/images/1x/mirfundmerch-thumb.jpg,"[""#2a2aa4"", ""#010231""]","{""#2a2aa4"": 0.4119, ""#010231"": 0.3637}",#2a2aa4,bright blue,"large typography, video background, sidebar, split screen, search bar, logo","cool, calm, creative",0.71
Lapa Ninja (Post),Duna,https://www.lapa.ninja/post/duna/,https://cdn.lapa.ninja/assets/images/1x/duna-thumb.jpg,"[""#f3caaa"", ""#fefefe""]","{""#f3caaa"": 0.1843, ""#fefefe"": 0.7026}",#f3caaa,bright orange,"rounded buttons, top navigation, search bar, footer, grid layout, large typography","minimal, modern, calm",0.59
Lapa Ninja (Post),Dulcedo,https://www.lapa.ninja/post/dulcedo/,https://cdn.lapa.ninja/assets/images/1x/dulcedo-thumb.jpg,"[""#0b0b0a"", ""#f3f3f3""]","{""#0b0b0a"": 0.6029, ""#f3f3f3"": 0.2844}",#0b0b0a,dark neutral,"sidebar, feature list, large typography, video background, rounded buttons, pricing cards","modern, minimal, cool",0.75
Lapa Ninja (Post),REF Digital Agency,https://www.lapa.ninja/post/ref/,https://cdn.lapa.ninja/assets/images/1x/ref-thumb.jpg,"[""#c3b9ae"", ""#11096a""]","{""#c3b9ae"": 0.5042, ""#11096a"": 0.2414}",#c3b9ae,muted orange,"grid layout, video background, icon list, split screen, sidebar, footer","minimal, modern, artistic",0.75
Lapa Ninja (Post),Genie,https://www.lapa.ninja/post/geniestudio/,https://cdn.lapa.ninja/assets/images/1x/geniestudio-thumb.jpg,"[""#fbfdff""]","{""#fbfdff"": 0.9613}",#fbfdff,light neutral,"search bar, feature list, rounded buttons, video background, large typography, sidebar","creative, cool, minimal",0.75
Lapa Ninja (Post),Coda,https://www.lapa.ninja/post/coda-co/,https://cdn.lapa.ninja/assets/images/1x/coda-co-thumb.jpg,"[""#f7f9eb"", ""#023e22""]","{""#f7f9eb"": 0.5475, ""#023e22"": 0.3381}",#f7f9eb,light neutral,"cta button, rounded buttons, video background, sidebar, avatar, pricing cards","trustworthy, creative, modern",0.75
Lapa Ninja (Post),Cursor,https://www.lapa.ninja/post/cursor-2/,https://cdn.lapa.ninja/assets/images/1x/cursor-2-thumb.jpg,"[""#16140e"", ""#b8b5b1""]","{""#16140e"": 0.8063, ""#b8b5b1"": 0.0819}",#16140e,dark neutral,"split screen, grid layout, video background, sidebar, feature list, search bar","modern, minimal, professional",0.75
Lapa Ninja (Post),Tilt,https://www.lapa.ninja/post/tilt/,https://cdn.lapa.ninja/assets/images/1x/tilt-thumb.jpg,"[""#171616"", ""#f8f7f2""]","{""#171616"": 0.5111, ""#f8f7f2"": 0.3646}",#171616,dark gray,"pricing cards, grid layout, sidebar, large typography, centered hero, avatar","modern, professional, retro",0.75
Lapa Ninja (Post),THE LINE Studio,https://www.lapa.ninja/post/thelinestudio/,https://cdn.lapa.ninja/assets/images/1x/thelinestudio-thumb.jpg,"[""#250410"", ""#ebebee""]","{""#250410"": 0.3213, ""#ebebee"": 0.3087}",#250410,dark neutral,"sidebar, video background, rounded buttons, hero image, split screen, feature list","bold, cool, artistic",0.66
Lapa Ninja (Post),Super Chill,https://www.lapa.ninja/post/superchill/,https://cdn.lapa.ninja/assets/images/1x/superchill-thumb.jpg,"[""#f2ecde"", ""#e498c4""]","{""#f2ecde"": 0.5952, ""#e498c4"": 0.2863}",#f2ecde,light bright orange,"sidebar, rounded buttons, grid layout, split screen, large typography, video background","modern, calm, futuristic",0.75
Lapa Ninja (Post),Pikkas,https://www.lapa.ninja/post/pikkasinternational/,https://cdn.lapa.ninja/assets/images/1x/pikkasinternational-thumb.jpg,"[""#f5f7f5"", ""#907750""]","{""#f5f7f5"": 0.6113, ""#907750"": 0.1451}",#f5f7f5,light neutral,"sidebar, video background, split screen, large typography, grid layout, feature list","playful, modern, artistic",0.75
Lapa Ninja (Post),Meracinque,https://www.lapa.ninja/post/meracinque/,https://cdn.lapa.ninja/assets/images/1x/meracinque-thumb.jpg,"[""#f9f5e5"", ""#826139""]","{""#f9f5e5"": 0.4404, ""#826139"": 0.1507}",#f9f5e5,light neutral,"sidebar, video background, feature list, footer, rounded buttons, search bar","cool, creative, modern",0.72
Lapa Ninja (Post),Hot Type,https://www.lapa.ninja/post/hottype/,https://cdn.lapa.ninja/assets/images/1x/hottype-thumb.jpg,"[""#fdfefd"", ""#090807""]","{""#fdfefd"": 0.7655, ""#090807"": 0.1072}",#fdfefd,light neutral,"large typography, two-column layout, icon list, grid layout, feature list, form","modern, artistic, minimal",0.75
Lapa Ninja (Post),GT Pantheon,https://www.lapa.ninja/post/gt-pantheon/,https://cdn.lapa.ninja/assets/images/1x/gt-pantheon-thumb.jpg,"[""#010101"", ""#5b06e3""]","{""#010101"": 0.8249, ""#5b06e3"": 0.076}",#010101,dark neutral,"large typography, sidebar, icon list, logo, top navigation, video background","modern, cool, professional",0.75
Lapa Ninja (Post),Duten,https://www.lapa.ninja/post/duten/,https://cdn.lapa.ninja/assets/images/1x/duten-thumb.jpg,"[""#e4e4e4""]","{""#e4e4e4"": 0.8967}",#e4e4e4,light gray,"large typography, sidebar, footer, pricing cards, grid layout, icon list","modern, minimal, futuristic",0.75
Lapa Ninja (Post),Dirty Vine,https://www.lapa.ninja/post/dirtyvine/,https://cdn.lapa.ninja/assets/images/1x/dirtyvine-thumb.jpg,"[""#f6f0e7"", ""#786941""]","{""#f6f0e7"": 0.4779, ""#786941"": 0.2305}",#f6f0e7,light neutral,"grid layout, rounded buttons, pricing cards, feature list, sidebar, footer","luxury, modern, calm",0.74
Lapa Ninja (Post),Arkeale,https://www.lapa.ninja/post/arkeale/,https://cdn.lapa.ninja/assets/images/1x/arkeale-thumb.jpg,"[""#1d2f27"", ""#4c5047""]","{""#1d2f27"": 0.564, ""#4c5047"": 0.1694}",#1d2f27,dark muted green,"sidebar, grid layout, avatar, feature list, video background, pricing cards","modern, futuristic, minimal",0.75
Lapa Ninja (Post),Portal,https://www.lapa.ninja/post/useportal/,https://cdn.lapa.ninja/assets/images/1x/useportal-thumb.jpg,"[""#f6f6f6"", ""#939ee6""]","{""#f6f6f6"": 0.5859, ""#939ee6"": 0.1446}",#f6f6f6,light neutral,"rounded buttons, grid layout, top navigation, search bar, cta button, sidebar","minimal, modern, futuristic",0.75
Lapa Ninja (Post),Matic,https://www.lapa.ninja/post/maticrobots/,https://cdn.lapa.ninja/assets/images/1x/maticrobots-thumb.jpg,"[""#d6d5d4"", ""#fffefe""]","{""#d6d5d4"": 0.3654, ""#fffefe"": 0.2723}",#d6d5d4,light gray,"grid layout, cta button, search bar, rounded buttons, avatar, sidebar","futuristic, modern, minimal",0.68
Lapa Ninja (Post),Form&Fun,https://www.lapa.ninja/post/formandfun/,https://cdn.lapa.ninja/assets/images/1x/formandfun-thumb.jpg,"[""#fbc8e2"", ""#fefefe""]","{""#fbc8e2"": 0.3574, ""#fefefe"": 0.479}",#fbc8e2,light bright magenta,"form, large typography, footer, sidebar, avatar, feature list","futuristic, modern, artistic",0.68
Lapa Ninja (Post),Bloom & Wolf,https://www.lapa.ninja/post/bloomandwolf/,https://cdn.lapa.ninja/assets/images/1x/bloomandwolf-thumb.jpg,"[""#762327"", ""#f8f7f5""]","{""#762327"": 0.2376, ""#f8f7f5"": 0.5499}",#762327,bright red,"grid layout, large typography, rounded buttons, pricing cards, footer, video background","creative, artistic, modern",0.62
Lapa Ninja (Post),Azione,https://www.lapa.ninja/post/azionepr/,https://cdn.lapa.ninja/assets/images/1x/azionepr-thumb.jpg,"[""#18211b"", ""#70442d""]","{""#18211b"": 0.3482, ""#70442d"": 0.2968}",#18211b,dark muted green,"sidebar, grid layout, rounded buttons, two-column layout, split screen, feature list","modern, artistic, minimal",0.67
Lapa Ninja (Post),Maggie App,https://www.lapa.ninja/post/maggie-app/,https://cdn.lapa.ninja/assets/images/1x/maggie-app-thumb.jpg,"[""#fcfe94"", ""#83eba7""]","{""#fcfe94"": 0.5385, ""#83eba7"": 0.3146}",#fcfe94,bright yellow,"icon list, sidebar, feature list, footer, search bar, card list","modern, creative, professional",0.75
Lapa Ninja (Post),Grit Pictures,https://www.lapa.ninja/post/grit/,https://cdn.lapa.ninja/assets/images/1x/grit-thumb.jpg,"[""#060606"", ""#f6f6f6""]","{""#060606"": 0.736, ""#f6f6f6"": 0.0974}",#060606,dark neutral,"sidebar, large typography, video background, card list, footer, feature list","cool, creative, artistic",0.75
Lapa Ninja (Post),That One Couple,https://www.lapa.ninja/post/thatonecouple/,https://cdn.lapa.ninja/assets/images/1x/thatonecouple-thumb.jpg,"[""#331b18"", ""#fcfafa""]","{""#331b18"": 0.2674, ""#fcfafa"": 0.3807}",#331b18,dark bright red,"rounded buttons, sidebar, split screen, grid layout, large typography, feature list","modern, retro, bold",0.63
Lapa Ninja (Post),Studio Tyrsa,https://www.lapa.ninja/post/studiotyrsa/,https://cdn.lapa.ninja/assets/images/1x/studiotyrsa-thumb.jpg,"[""#0e0a0a"", ""#fbfbfb""]","{""#0e0a0a"": 0.2164, ""#fbfbfb"": 0.3656}",#0e0a0a,dark neutral,"video background, sidebar, rounded buttons, footer, feature list, large typography","cool, retro, professional",0.61
Lapa Ninja (Post),Revitin,https://www.lapa.ninja/post/revitin/,https://cdn.lapa.ninja/assets/images/1x/revitin-thumb.jpg,"[""#fbf5e8""]","{""#fbf5e8"": 0.893}",#fbf5e8,light neutral,"large typography, rounded buttons, grid layout, search bar, footer, pricing cards","minimal, modern, luxury",0.75
Lapa Ninja (Post),Early Works,https://www.lapa.ninja/post/early/,https://cdn.lapa.ninja/assets/images/1x/early-thumb.jpg,"[""#010101"", ""#d7deea""]","{""#010101"": 0.6466, ""#d7deea"": 0.2156}",#010101,dark neutral,"large typography, rounded buttons, pricing cards, sidebar, single column, video background","modern, futuristic, professional",0.75
Lapa Ninja (Post),Exrcst,https://www.lapa.ninja/post/exrcst/,https://cdn.lapa.ninja/assets/images/1x/exrcst-thumb.jpg,"[""#1c0e0e"", ""#f1f1f1""]","{""#1c0e0e"": 0.1823, ""#f1f1f1"": 0.4755}",#1c0e0e,dark neutral,"sidebar, large typography, video background, feature list, icon list, logo","modern, artistic, minimal",0.59
Lapa Ninja (Post),Scout Motors,https://www.lapa.ninja/post/scoutmotors/,https://cdn.lapa.ninja/assets/images/1x/scoutmotors-thumb.jpg,"[""#1d1516"", ""#aaa6a4""]","{""#1d1516"": 0.2721, ""#aaa6a4"": 0.2393}",#1d1516,dark muted red,"sidebar, video background, top navigation, feature list, search bar, large typography","retro, modern, trustworthy",0.64
Lapa Ninja (Post),T3 by EquipmentShare,https://www.lapa.ninja/post/t3/,https://cdn.lapa.ninja/assets/images/1x/t3-thumb.jpg,"[""#15150f"", ""#fef4ea""]","{""#15150f"": 0.3389, ""#fef4ea"": 0.3079}",#15150f,dark neutral,"grid layout, top navigation, large typography, footer, feature list, video background","modern, futuristic, minimal",0.67
Lapa Ninja (Post),Sunrise Robotics,https://www.lapa.ninja/post/sunriserobotics/,https://cdn.lapa.ninja/assets/images/1x/sunriserobotics-thumb.jpg,"[""#e4e4dd"", ""#10110b""]","{""#e4e4dd"": 0.4878, ""#10110b"": 0.2524}",#e4e4dd,light muted yellow,"large typography, rounded buttons, sidebar, form, grid layout, top navigation","minimal, modern, cool",0.74
Lapa Ninja (Post),Normal Computing,https://www.lapa.ninja/post/normalcomputing/,https://cdn.lapa.ninja/assets/images/1x/normalcomputing-thumb.jpg,"[""#e1e0e4"", ""#0d191d""]","{""#e1e0e4"": 0.4291, ""#0d191d"": 0.3742}",#e1e0e4,light gray,"large typography, grid layout, rounded buttons, split screen, sidebar, two-column layout","modern, futuristic, professional",0.71
Lapa Ninja (Post),Michael Aust,https://www.lapa.ninja/post/michael-aust/,https://cdn.lapa.ninja/assets/images/1x/michael-aust-thumb.jpg,"[""#d8d8d8"", ""#363636""]","{""#d8d8d8"": 0.55, ""#363636"": 0.2834}",#d8d8d8,light gray,"large typography, sidebar, split screen, search bar, rounded buttons, footer","trustworthy, professional, creative",0.75
Lapa Ninja (Post),Dorian Lods,https://www.lapa.ninja/post/dorianlods/,https://cdn.lapa.ninja/assets/images/1x/dorianlods-thumb.jpg,"[""#08050a"", ""#d8d6d9""]","{""#08050a"": 0.873, ""#d8d6d9"": 0.0666}",#08050a,dark neutral,"large typography, rounded buttons, video background, footer, pricing cards, sidebar","cool, creative, bold",0.75
Lapa Ninja (Post),Olha Lazarieva,https://www.lapa.ninja/post/olhalazarieva/,https://cdn.lapa.ninja/assets/images/1x/olhalazarieva-thumb.jpg,"[""#111111"", ""#f6f6f6""]","{""#111111"": 0.3249, ""#f6f6f6"": 0.5986}",#111111,dark neutral,"large typography, grid layout, pricing cards, sidebar, split screen, feature list","creative, modern, artistic",0.66
Lapa Ninja (Post),Panconesi,https://www.lapa.ninja/post/marcopanconesi/,https://cdn.lapa.ninja/assets/images/1x/marcopanconesi-thumb.jpg,"[""#c7c6c4"", ""#fafaf9""]","{""#c7c6c4"": 0.2318, ""#fafaf9"": 0.4478}",#c7c6c4,light gray,"rounded buttons, grid layout, sidebar, icon list, avatar, feature list","modern, minimal, bold",0.62
